Sl. No.,States,Total Waste Generation (MT/D),Total Waste Processing %
1,Andhra Pradesh,6564,86
2,Andaman and Nicobar,45,90
3,Arunachal Pradesh,224,32
4,Assam,1205,71
5,Bihar,6105,21
6,Chandigarh,1239,100
7,Chhattisgarh,1624,100
8,Dadra and Nagar Haveli and Daman and Diu,55,66
9,Delhi,10168,100
10,Goa,170,86
11,Gujarat,10097,93
12,Haryana,5530,71
13,Himachal Pradesh,886,39
14,Jammu and Kashmir,1182,89
15,Jharkhand,2157,63
16,Karnataka,9514,85
17,Kerala,1986,68
18,Ladakh,15,53
19,Madhya Pradesh,6589,100
20,Maharashtra,25296,89
21,Manipur,226,80
22,Meghalaya,1,0
23,Mizoram,176,44
24,Nagaland,39,11
25,Odisha,1759,79
26,Puducherry,372,11
27,Punjab,3582,90
28,Rajasthan,6172,41
29,Sikkim,74,35
30,Tamil Nadu,14574,65
31,Telangana,10238,92
32,Tripura,323,92
33,Uttar Pradesh,19338,79
34,Uttarakhand,1539,82
35,West Bengal,7876,10
Total/Average,Total/Average,156942,76.41
