ward_no,latitude,longitude,population
"Ward No. 1, Kolkata Municipal Corporation",22.617889,88.370556,
"Ward No. 2, Kolkata Municipal Corporation",22.628056,88.384444,48190
"Ward No. 3, Kolkata Municipal Corporation",22.604444,88.383333,53855
"Ward No. 4, Kolkata Municipal Corporation",22.613056,88.379444,34476
"Ward No. 5, Kolkata Municipal Corporation",22.608889,88.379694,23707
"Ward No. 6, Kolkata Municipal Corporation",22.610863,88.371213,42346
"Ward No. 7, Kolkata Municipal Corporation",22.603567,88.365806,19180
"Ward No. 8, Kolkata Municipal Corporation",22.601806,88.3665,18760
"Ward No. 9, Kolkata Municipal Corporation",22.595889,88.365306,16420
"Ward No. 10, Kolkata Municipal Corporation",22.597889,88.364326,27700
"Ward No. 11, Kolkata Municipal Corporation",22.598806,88.373611,Mayor-Council
"Ward No. 12, Kolkata Municipal Corporation",22.596806,88.376694,21493
"Ward No. 13, Kolkata Municipal Corporation",22.594167,88.385889,33066
"Ward No. 14, Kolkata Municipal Corporation",22.589278,88.385556,53343
"Ward No. 15, Kolkata Municipal Corporation",22.590278,88.376556,23922
"Ward No. 16, Kolkata Municipal Corporation",22.591278,88.371361,20904
"Ward No. 17, Kolkata Municipal Corporation",22.595378,88.365556,21023
"Ward No. 18, Kolkata Municipal Corporation",22.593667,88.362861,22267
"Ward No. 19, Kolkata Municipal Corporation",22.595667,88.357667,21158
"Ward No. 20, Kolkata Municipal Corporation",22.593556,88.354667,21576
"Ward No. 21, Kolkata Municipal Corporation",22.592167,88.352472,21187
"Ward No. 22, Kolkata Municipal Corporation",22.586861,88.351667,15730
"Ward No. 23, Kolkata Municipal Corporation",22.584667,88.356667,18256
"Ward No. 24, Kolkata Municipal Corporation",22.588472,88.356361,19824
"Ward No. 25, Kolkata Municipal Corporation",22.587761,88.361251,27484
"Ward No. 26, Kolkata Municipal Corporation",22.58725,88.365028,25371
"Ward No. 27, Kolkata Municipal Corporation",22.58525,88.372333,19350
"Ward No. 28, Kolkata Municipal Corporation",22.58025,88.375833,38110
"Ward No. 29, Kolkata Municipal Corporation",22.57925,88.379833,Mayor-Council
"Ward No. 30, Kolkata Municipal Corporation",22.57625,88.387528,30050
"Ward No. 31, Kolkata Municipal Corporation",22.579861,88.388917,39025
"Ward No. 32, Kolkata Municipal Corporation",22.582861,88.391917,45636
"Ward No. 33, Kolkata Municipal Corporation",22.564861,88.399306,45919
"Ward No. 34, Kolkata Municipal Corporation",22.564861,88.389306,29773
"Ward No. 35, Kolkata Municipal Corporation",22.567861,88.384306,35024
"Ward No. 36, Kolkata Municipal Corporation",22.566861,88.376972,27238
"Ward No. 37, Kolkata Municipal Corporation",22.574861,88.369861,24020
"Ward No. 38, Kolkata Municipal Corporation",22.579167,88.370861,28791
"Ward No. 39, Kolkata Municipal Corporation",22.579667,88.362861,Mayor-Council
"Ward No. 40, Kolkata Municipal Corporation",22.575461,88.364361,20549
"Ward No. 41, Kolkata Municipal Corporation",22.582278,88.359167,19946
"Ward No. 42, Kolkata Municipal Corporation",22.580313,88.352673,21746
"Ward No. 43, Kolkata Municipal Corporation",22.576889,88.359167,17677
"Ward No. 44, Kolkata Municipal Corporation",22.574889,88.357361,29600
"Ward No. 45, Kolkata Municipal Corporation",22.568889,88.346167,Mayor-Council
"Ward No. 46, Kolkata Municipal Corporation",22.56725,88.350722,12823
"Ward No. 47, Kolkata Municipal Corporation",22.56825,88.359611,14684
"Ward No. 48, Kolkata Municipal Corporation",22.56972,88.36306,20437
"Ward No. 49, Kolkata Municipal Corporation",22.568235,88.367611,19416
"Ward No. 50, Kolkata Municipal Corporation",22.5659,88.3633,17257
"Ward No. 51, Kolkata Municipal Corporation",22.565245,88.362611,13556
"Ward No. 52, Kolkata Municipal Corporation",22.558245,88.356611,16869
"Ward No. 53, Kolkata Municipal Corporation",22.558245,88.361611,25598
"Ward No. 54, Kolkata Municipal Corporation",22.558685,88.368611,36235
"Ward No. 55, Kolkata Municipal Corporation",22.554245,88.372811,32254
"Ward No. 56, Kolkata Municipal Corporation",22.55525,88.378611,43622
"Ward No. 57, Kolkata Municipal Corporation",22.559333,88.389611,49856
"Ward No. 58, Kolkata Municipal Corporation",22.543333,88.39725,88465
"Ward No. 59, Kolkata Municipal Corporation",22.545333,88.377125,70261
"Ward No. 60, Kolkata Municipal Corporation",22.547333,88.369325,35732
"Ward No. 61, Kolkata Municipal Corporation",22.549639,88.35925,Mayor-Council
"Ward No. 62, Kolkata Municipal Corporation",22.554839,88.360625,Mayor-Council
"Ward No. 63, Kolkata Municipal Corporation",22.546639,88.352444,24387
"Ward No. 64, Kolkata Municipal Corporation",22.541217,88.364333,Mayor-Council
"Ward No. 65, Kolkata Municipal Corporation",22.531667,88.368444,72427
"Ward No. 66, Kolkata Municipal Corporation",22.531861,88.385444,KMC
"Ward No. 67, Kolkata Municipal Corporation",22.523889,88.376444,56284
"Ward No. 68, Kolkata Municipal Corporation",22.521889,88.368472,20724
"Ward No. 69, Kolkata Municipal Corporation",22.529889,88.359472,44111
"Ward No. 70, Kolkata Municipal Corporation",22.537889,88.350472,18618
"Ward No. 71, Kolkata Municipal Corporation",22.532889,88.343472,29922
"Ward No. 72, Kolkata Municipal Corporation",22.528583,88.348472,19167
"Ward No. 73, Kolkata Municipal Corporation",22.527889,88.343472,23512
"Ward No. 74, Kolkata Municipal Corporation",22.525889,88.330472,42176
"Ward No. 75, Kolkata Municipal Corporation",22.546944,88.323472,Mayor-Council
"Ward No. 76, Kolkata Municipal Corporation",22.541944,88.317861,Mayor-Council
"Ward No. 77, Kolkata Municipal Corporation",22.536944,88.323861,Mayor-Council
"Ward No. 78, Kolkata Municipal Corporation",22.528944,88.324235,54090
"Ward No. 79, Kolkata Municipal Corporation",22.53325,88.310611,44303
"Ward No. 80, Kolkata Municipal Corporation",22.540325,88.300161,31094
"Ward No. 81, Kolkata Municipal Corporation",22.5045,88.335611,41501
"Ward No. 82, Kolkata Municipal Corporation",22.517345,88.335611,Mayor-Council
"Ward No. 83, Kolkata Municipal Corporation",22.521455,88.342611,22163
"Ward No. 84, Kolkata Municipal Corporation",22.518435,88.349417,19230
"Ward No. 85, Kolkata Municipal Corporation",22.521141,88.356306,Mayor-Council
"Ward No. 86, Kolkata Municipal Corporation",22.518917,88.364306,19195
"Ward No. 87, Kolkata Municipal Corporation",22.513917,88.350694,12675
"Ward No. 88, Kolkata Municipal Corporation",22.514917,88.343694,Mayor-Council
"Ward No. 89, Kolkata Municipal Corporation",22.505222,88.347694,22304
"Ward No. 90, Kolkata Municipal Corporation",22.514222,88.366694,18857
"Ward No. 91, Kolkata Municipal Corporation",22.516222,88.378694,38450
"Ward No. 92, Kolkata Municipal Corporation",22.499833,88.369694,36450
"Ward No. 93, Kolkata Municipal Corporation",22.504833,88.363694,44364
"Ward No. 94, Kolkata Municipal Corporation",22.497833,88.351694,27469
"Ward No. 95, Kolkata Municipal Corporation",22.492833,88.361694,26737
"Ward No. 96, Kolkata Municipal Corporation",22.489833,88.370694,31033
"Ward No. 97, Kolkata Municipal Corporation",22.487833,88.348694,37199
